id,message,translated_message,compound_score,sentiment_label,cleaned_text
622,"Mesti kejap je kena reman tu,",I'm sure you're not here.,0.3182,Positive,im sure youre
623,Bab movie Tamil,Bab movie Tamil,0.0,Neutral,bab movie tamil
624,Don gangster n seangkatan Ada lah org paling berkuasa dari pihak polis.seumpama pihak polis adalah org suruhan bawahan saja pd mereka2 yg Don elite aenagkatan,Don Gangster N's association There's the most powerful organ of the police.,0.4754,Positive,gangster n association there powerful organ police
625,"Klau ank toke tk blh kna hukuman,hukuman d Malaysia ni hnya utk org2 biasa2 ja","The law also applies to the law, the law of Malaysia does not apply to the ordinary or ordinary or",0.0,Neutral,law also applies law law malaysia apply ordinary ordinary
626,Anak tauke judi memang senang lepas la,The judi expert is easy to lose,0.0516,Positive,judi expert easy lose
627,Muka mcm Andy?,Muka mcm Andy?,0.0,Neutral,muka mcm andy
628,"Harap semua keluarga mangsa bwk ke mahkamah, saman abis abisan …","I hope all families will be in court, together with the usual...",0.4404,Positive,hope family court together usual
629,sekarang jgk aku bgtau sohai ni akan terlepas..keluarga sihai ni org ade duit..duit plk segala galanya..korang rasa blh kawtim ke idak??? pikior² la ye...,Now I'm sorry that the family is gonna get out of here.,-0.0772,Negative,im sorry family gon na get
631,Jom bertaruh berani ke ambik tindakan.,He boldly took the lead in doing so.,0.3612,Positive,boldly took lead
632,Plg tinggi denda 5k jer ni,Please hold on to 5k,0.3182,Positive,please hold k
633,Bayar denda dan keluar sahaja. Dia anak taukeh,He's a very smart kid.,0.4576,Positive,he smart kid
634,Spt kes2 lepas kemungkinan lepas. Harap dpt diberi hukuman seadilnya,Spt kes2 is missing. The dpt is given the legal judgement,-0.1779,Negative,spt kes missing dpt given legal judgement
635,betuiii yg mmg jena sabit vaviii sungguh,The average value of the original sample,0.5719,Positive,average value original sample
636,Jangan tak gari plak…,Don't wear a stick...,0.0,Neutral,dont wear stick
637,kes ni kalau lepas.. polis ke undang2 mmg x ley pakai!!!,No police to order 2 mmg x by law!!!,-0.4724,Negative,police order mmg x law
638,Hati2 mungkin polis di pihak yg Salah,The heart may be the police on the wrong side.,0.2732,Positive,heart may police wrong side
639,Tgok polis buat keje cmne..hahahahahah,The police are making you a cop.,0.0,Neutral,police making cop
640,Muka xda rasa bersalah,You're guilty of xda,-0.4215,Negative,youre guilty xda
641,Pergh.. posing dia . Dia ingat dia tohai.. harap kaw2 punya hukuman orang macam ni..,"Pergh... put him in his place, he remembered he was right... hoping you had a sentence of what kind of person...",0.4767,Positive,pergh put place remembered right hoping sentence kind person
642,Kes kena di bicarakan di mahkamah dengan keputusan muktamad daripada pihak juri.,The case was heard in court by the court as a direct trial by the court.,0.0,Neutral,case heard court court direct trial court
643,Mana boleh cari video dashcam tu? Nak tengok,Where can you find this love video?,0.7184,Positive,find love video
644,"Ni kalau Lepas juga, memang xtaw lah maw cakap apa lagi dgn Undang2 negara kita","If Lepas is also, it's xtaj is what else we have to say about our country.",0.0,Neutral,lepas also xtaj else say country
645,Besau sial ni org,Invalid word:,0.0,Neutral,invalid word
646,tiba2 oku.haha..malaysia bole.janji ada kuasa duit.ada sprm pun xde funtion buat hbs duit rakyt bg dowang gaji.,tiba2 ku.ha..malaysia bole.janji has power due.da sprm pun xde function makes hbs duit rakyt bg dowang pay.,-0.1027,Negative,tiba kuhamalaysia bolejanji power dueda sprm pun xde function make hb duit rakyt bg dowang pay
647,"Alah, caye lh isu ni kjp jerk pstu nt hilang lh.. sbb pe, sbb penguasa skg byk cekik duit haram.. duit blh ttup kes lh..","All right, you know what I'm saying is that I'm missing.",-0.296,Negative,right know im saying im missing
648,confirm ada kad OKU lepas ne,Confirm if OKU does not match,0.0,Neutral,confirm oku match
649,Dengan muka tak rasa bersalah....,With no guilt.,0.2057,Positive,guilt
651,Dah kena tangkap ke? Sj nak tau sbb ank emas kn,You're gonna get it?,0.0,Neutral,youre gon na get
652,Takkan nak tunggu negara kita ada vigilante baru nak kuat kuasa dgn tulus undang undang ....ada nyawa yang terkorban ...ada keluarga yang kesedihan ....ada jiwa yang perlukan pembelaan ....mohon semua pihak buka mata buka hati ada mangsa untuk diperjuangkan sebelum rakyat bertindak sendiri,Not until we wait for our country there's new vigilante when the power of real law is strong... there's a life that's been sacrificed... there's a family that's suffering... there's a soul that needs protection... ask all open-minded parties for time to discuss before people act.,0.4404,Positive,wait country there new vigilante power real law strong there life thats sacrificed there family thats suffering there soul need protection ask openminded party time discus people act
653,Puak tongsan penyusah hidup org,The end of the life-threatening crisis,-0.6249,Negative,end lifethreatening crisis
654,Nescaya lah cakap aku ringan je hukuman barua NIE..x Caya lihat jela....kasi 302 la terang terang pembunuh lagi mahu diam ke..kami rakyat muak sangat dengan kad OKU NIE..jangan lust minit kad OKU aku sumpah 7 keturunan yg bagi hukuman tu malah pertaka..ingat 7 keturunan aku sumpah dunia kau seksa akhirat kau seksa sekian Mior Ainuddin bagi kata kata sikit,Nescaya is saying I'm sorry about the new NIE.x trial. See how it's clear that 302 killers want to keep quiet. We're very busy with the NIE. Don't worry about it. I swear 7 generations for that trial are a curse.,-0.6116,Negative,nescaya saying im sorry new niex trial see clear killer want keep quiet busy nie dont worry swear generation trial curse
655,Antony loke masuk.,Antony's in.,0.0,Neutral,antony
656,Anak org kaya. Bapak ada duit.,"The son of a rich man, he had money.",0.5574,Positive,son rich man money
657,SIO dan IO sila beri perhatian,SIO and IO please pay attention,0.2263,Positive,sio io please pay attention
658,Makahai punya org.. dia ingat ni dlm game ke... bwk kete laju x semesti nya nk kena belumba.. mau lumba masuk sepang la cibaiiiiiii......!!!,He had an org.. he remembered the game that... the little bug that x was like a run... was going to run in but the civilians were...!!,0.3257,Positive,org remembered game little bug x like run going run civilian
659,"PEGUAM KA PIHAK BERKUASA kita ni mudah sangat kena beli ngan duit.... Jumpa kt tempat vvip hulur duit bawah meja setengah juta dri kes 302 terus tukar seksyen... Bunyi kata driver ni rabun jauh cacat,oku dan bla..bla..bla..and whatever la ... Tk caya tunggu tengok jala MALAYSIA kan RASUAH IS NO 1 &$}{}<<\;^^¦\®™{","Our money is so easy to buy. We're gonna get half a million dollars under the table and keep having sex... the driver's voice from the far away, I and bla..bla..and anything that's...",0.5777,Positive,money easy buy gon na get half million dollar table keep sex driver voice far away blablaand anything thats
660,Kita tgok dan lihat..kes ni pun lebih kurg ustazah tk sengaja lggr pelajar...klu rasa2 bkrja ikhlas jujur amanah ..buatlah undang2 dgn adil...,We're gonna go and see if any more than a few of the students are going to be honest.,0.5106,Positive,gon na go see student going honest
661,Muke elokk jee... Xde Ank dayak ke kawasan situ ..jgan nti polis cakap Ade kt oku plak...,The police are looking for a place to live.,0.0,Neutral,police looking place live
662,Nanti boleh kad OKU plak dengan sijil gila la lahanat ni huhuhu,Then you can stick a card with a crazy chair.,-0.34,Negative,stick card crazy chair
663,Harap keadilan yg harus ditegakkan,Hope for justice to be established,0.743,Positive,hope justice established
664,Spesis kerurunan 8481 hutan,Species of wildflower 8481,0.0,Neutral,specie wildflower
665,"Hukuman berat buat mamat nii. Mentang2 pakai kete mewah, nk fast & furious kat jlnraya pula. Jalan raya bapak ko yg punye ke","The law is too difficult for her to do so. It is a very difficult thing to do. It is like a hard hard, hard, and really hard to find.",-0.6894,Negative,law difficult difficult thing like hard hard hard really hard find
666,Zaman sekarang Cash is King..lagi2 kalau melibatkan orang kaya.Caya la daripada tuduhan membunuh akan dilepaskan dan kes akan senyap akhirnya,The time now Cash is King..and2 if it involves the rich.,0.5574,Positive,time cash kingand involves rich
668,Kita tunggu kesudahan cerita ini. Apakah nanti ia akan menjadi status NFA atau ada plot twist.,We're waiting for the end of this story.,0.0,Neutral,waiting end story
669,"kita tgk dah lihat
auto bebas puak nie",We don't see a free car,-0.4023,Negative,dont see free car
670,mesti ada kat OKU..,There must be a map of the O.U.,0.0,Neutral,must map ou
671,Setuju!! Jgn nk double standard n bg hukuman setimpal,Set!!! jgn nk double standard n bg command setipal,0.0,Neutral,set jgn nk double standard n bg command setipal
672,Kad oku dh stand by ke,When reading status,0.0,Neutral,reading status
673,Bangsat musibat budak c ni,The cause of c-disease,0.0,Neutral,cause cdisease
674,Bukan dia ke yg mmotong double line sblum kemalangan maut,Not to the double line sblum end of death,-0.5994,Negative,double line sblum end death
675,Orang simpang kenal la dy sape.. Zaman main dengan duit,The fool knows the two of us.,-0.4404,Negative,fool know two u
676,anak VT yg tanam ganja dlm.kondo pun kes senyap je,The VT child that is covered by dlm.condo is,0.0,Neutral,vt child covered dlmcondo
677,Biasala zaman ni.kalau bangsa kita cepat je diambil tindakan,It's time for us to move on.,0.0,Neutral,time u move
678,Balun Kaw Kaw dulu tapi jgn rakam masa hari kejadian tu....,"I'm sorry, but I'm not sure the date is...",-0.3804,Negative,im sorry im sure date
679,Kompem lepas...ni...,I'm picking up a nice... no...,0.4215,Positive,im picking nice
680,Ouh..ni backup besar..,Oh... it's a big backup.,0.0,Neutral,oh big backup
681,Tengok muka mcm tiada penyesalan elok ambik tindakan saman ke atas puaka ni,The mcm side doesn't have any pain. I'm sorry.,0.3404,Positive,mcm side doesnt pain im sorry
682,Moga diadili,A Long - Term View,0.0,Neutral,long term view
683,Apa gua mau takut? Bapak gua kaya ni malaysia wa yang punya oh lu sapa mah?,Is there any reason to be afraid?,0.0,Neutral,reason afraid
684,ALLAHUAKBAR... INNALILLAHWAINNAHIRAJIUN,GOD ALONE DETERMINED...,0.3612,Positive,god alone determined
685,Kad OKU... Atasan kenyang mkn tak tk hbis... Lepas cmtu jee nnti... ADA POPCORN???,When you're okay... you're not gonna miss me.,0.3278,Positive,youre okay youre gon na miss
686,Mana suara DAP pembela rakyat mangsa kemalangan maut senyap semua..,Where DAP sounds protecting people during the death march is all gone.,-0.5994,Negative,dap sound protecting people death march gone
687,Muka sombong! As if he's above the law,If he's over the law,0.0,Neutral,he law
688,Hukum qisas,Legal Account,0.128,Positive,legal account
689,Ustazah...seorg pendidik...digari. Hok ni..malaun..smpah ...berita pun x kluar..apatah lagi muka dorang,The teacher's... the seorg.,0.0,Neutral,teacher seorg
690,"Fast and furious, excited and good movie.","Fast and angry, excited and good movie.",0.25,Positive,fast angry excited good movie
692,Semoga mendapat balasan yg setimpal kalau undang2 dunia tak boleh menghukum biar Allah yg hukum dia.,May we be rewarded with the ultimate reward if the law of the world cannot punish God by his law.,0.8343,Positive,may rewarded ultimate reward law world punish god law
693,"Muka masih sombong nak mampus, tapi lepas ni harap²lah seluruh keluarga tu dihantui sesalan n tidak tenteram hidup sepanjang hayat!","You're still proud of yourself, but how disappointed those families are to be left with the things that they don't live on for the rest of their lives!",-0.5255,Negative,youre still proud disappointed family left thing dont live rest life
694,Mmg ade pusing² 6t...cm lepas² doh,Mmg ade pusse2 6t...cm lepas2 doh,0.0,Neutral,mmg ade pusse tcm lepas doh
695,..tngok la...hukuman mmg x padang dgn kemati yg berlaku...menteri²...pegawai²...mujawab la mati esok² dlm kubur...,..ton... the... command mmg x dgdg dgn kemtemts that happened...,0.0,Neutral,ton command mmg x dgdg dgn kemtemts happened
696,Kesiannya dia mungkin dia tak sengaja kot bukan mcm mat rempit,He might not be ready for the box.,-0.2755,Negative,might ready box
697,do it quietly and disappear softly,Do it quietly and disappear slowly,-0.2263,Negative,quietly disappear slowly
698,Ayat biasa ‘ masih muda dan patut diberi peluang kedua. Kemalangan tidak disengajakn. ‘,The Scriptures are full of vivid word pictures that can help us to identify “the young child ” and“ the young child ” to understand what it means to be mature.,0.6705,Positive,scripture full vivid word picture help u identify young child young child understand mean mature
699,Dengar2 umur baru 19... Tp napa muka mcm pacik2,"Listen, two years old, 19...",0.0,Neutral,listen two year old
700,Jap gi keluar kad OKU,Jap out of the OKU card,0.0,Neutral,jap oku card
701,mula mula ada tindakan Dari pihak berkuasa lama sikit cerita ni pun hilang Dan akhirnya bebas,"So there's a long story from the government, and then it's free.",0.5106,Positive,there long story government free
702,Kad oku penyelamat,Not available,0.0,Neutral,available
703,"nnti taukei judi tu akan keluarkan kad oku anak dia..pecayalah,undang2 sivil Maaàaaaaa,kautim kasi jadi punya","Then this guy's gonna get his kid's card out. Believe me, you're gonna get a civil suit, you're gonna have a card.",0.0,Neutral,guy gon na get kid card believe youre gon na get civil suit youre gon na card
704,Tuntut ganti rugi....,You know how much noise....,0.0,Neutral,know much noise
705,Tangkap Dan penjara kn..jika tk jln juga minta bantuan agung,I'll get you and the prisoner won't if I ask for a big help.,-0.2023,Negative,ill get prisoner wont ask big help
706,Kita tngok apa yg akn pihak2 brwajib ambil tndkkan..sdgkn bukti dh ada ...,We're wondering what the pike's got to do with the...,0.0,Neutral,wondering pike got
707,dIe ade kad OKU...kompom lepas tu..jgn risau..pasni berlumba lgi ...org kaya boskuuu,The time when the OCU...compo was like you...,0.3612,Positive,time ocucompo like
708,Setuju,_Set,0.0,Neutral,set
709,Kes bunoh ?,- You're not?,0.0,Neutral,youre
710,Jgn tiba2 ada kad oku pulk,Jgn until2 is equal to 8 hours,0.0,Neutral,jgn equal hour
711,"Esok2 org lain pula langgar mati family members dia.. baru dia ada akal, skg akal dia kat lutut.. pembunuh!!!","Other Esok2 orgs don't die family beat him.. he's just smart, skg he's a dead cat..!!",0.2801,Positive,esok orgs dont die family beat he smart skg he dead cat
712,MACHAM FILEM Bollywood.ada Wang kuasa pon besar,MACHAM FILE Bollywood.da Wang's power is great,0.6249,Positive,macham file bollywoodda wangs power great
713,Ustazah dan abg van yg tak sengaja terus pakai baju lokap bergari..harap kopet ni kena yg sama 10 tahun,I'm sure you'll be able to keep your clothes on.,0.3182,Positive,im sure youll able keep clothes
714,Bukan pusing² bagi orang pening... Tpi org dah sedia maklum.. melibat kan VVVVVVVIP ni.. kompom pusing fakta nye.. org skrg dah x heran dengan stment dari PDRM.,Not pushing2 for people who are... Tpi org is ready to do it before.. involves VVVVVVVIP's..com pumping data.. org skrg dah x amazing with a stment from PDRM.,0.743,Positive,pushing people tpi org ready involves vvvvvvvipscom pumping data org skrg dah x amazing stment pdrm
715,Berlumba ke?,Run to?,0.0,Neutral,run
716,"Driver bmw yg mati tu abg dia , gatal racing adik beradik. Hadapla","The bmw driver who died is abg him, a brother's brother's fucking shit.",-0.8173,Negative,bmw driver died abg brother brother fucking shit
717,Tak pasal2 nyawa org yg tak bersalah melayang sbbkan dikau...naik mahkamah mengaku tak bersalah...dah membunuh pun tak mengaku,No matter how innocent the innocent life of your sbbkan... the court admits it is innocent... and even kills it.,0.5894,Positive,matter innocent innocent life sbbkan court admits innocent even kill
718,Lepas ni....tgk la...,We're gonna...,0.0,Neutral,gon na
719,Jangn tiba2 jadi OKU pulak…,Don't come back.,0.0,Neutral,dont come back
720,Patut x payah rakam...tiba saja....esok lepas.yg meninggal dunia Bkn blh hidup kembali pon,I just got to get my number x back... and then I just got out of here.,0.0772,Positive,got get number x back got
721,Agknye dia dh tau dia akan terlepas.bapak tokey kn..mesti dilepaskn dgn ikat jamin polis..mcm xbese pulak kite ni dgn kes cmni..silap2 dia buat report belah sana yg memotong xlepas sbb tu xcident.,He's gonna get away. He's gonna be gone. He's gonna be gone. He's gonna be gone. He's gonna be gone. He's gonna be gone. He's gonna be back.,0.0,Neutral,he gon na get away he gon na gone he gon na gone he gon na gone he gon na gone he gon na gone he gon na back
722,"Nanti dia bagi alasan, “ keleta gua mana ada langgar itu kenderaan!”","Then he said: ""Which of the two turns will be the train?""",0.0,Neutral,said two turn train
723,Belia kesayangan madanon,The love of money is the most precious possession a person has.,0.8479,Positive,love money precious possession person
724,biar Kan lagi.. semakin menjadi jadi ..,Let Kan again... become more and more...,0.0,Neutral,let kan become
725,Mintak ganti rugi mkn juta,Requesting a mkn million-dollar drive,0.0,Neutral,requesting mkn milliondollar drive
726,catch release punya,Got caught release,0.0,Neutral,got caught release
727,dia bracing mengakibat org lain trbunuh...ini bukan niat dia nk membunuh..xwajar disabitkn dia kesalahan dgn niat nk membunuh...ada hukuman lain yg lbh layak dan yg sesuai utk dia dihukum..semasa dia beracing dia hanya brniat nk pandu laju nk cepat smpi xtrdetik pun nk langgar org lain kerana nk membunuh...cuma keadaan panik dia yg bwa laju sb beracing jdkn kemalangan brlaku yg mengakibat org lain brgkali hanya trcedara atau barangkali meninggal dunia....kdg kena amik faktor juga punca trjd kemalangan..salah satu dialh yg brasing mmg xboleh ketepikan sb dia adalah alasan no 1....yg satu lg mangsa atau alasan ke 2..yg mmg dia kata itu laluan dia tp boleh x ke tepi sikit utk selamatln keadaan utk selamatkn nyawa sendiri dan yg lain2..sb semata2 nk selamatkn keadaan lebih teruk trhadap pemandu yg beracing tu dan yg lain2 yg trlibat.,He's a bracking killer... this isn't his intention to kill... he's not supposed to be a victim of a crime of murder... there's another reason why he's being punished... when he's only bronchotizing the gloves of the xtrdetics and the other organ's leg because he's killing... that's the panic situation he's got a bracklecon that's only gonna kill or probably killed the world....kg for the factor also the brows of the browsy..,-0.9913,Negative,he bracking killer isnt intention kill he supposed victim crime murder there another reason he punished he bronchotizing glove xtrdetics organ leg he killing thats panic situation he got bracklecon thats gon na kill probably killed worldkg factor also brow browsy
728,"jika mahkamah xboleh menghukum , mahkamah nitizen kena bertindak","If the court can punish, the court will be fined for acting",-0.5267,Negative,court punish court fined acting
729,"hukum tabur tuai wujud...roda itu berputar..Allah tidak tidur...kerja itu ibadah, gaji biar barakah","The old-fashioned law of the tabernacle... the thief is gone... God does not sleep... it is worship, pay the price of their lives.",-0.128,Negative,oldfashioned law tabernacle thief gone god sleep worship pay price life
730,Kompom lepas. Bebas,"Come on, come on.",0.0,Neutral,come come
731,Apa tokey judi tokey arak kebal ke?,Is it tokey judi tokey coffee?,0.0,Neutral,tokey judi tokey coffee
732,Ada KAD OKU nti ni...,Ada KAD said that it was...,0.0,Neutral,ada kad said
733,Wait n see,Wait and see,0.0,Neutral,wait see
734,Nampak dah kan... Mmg semua tak boleh pakai .. Dr atas smpai bawah...,Looks like... mmg can't be used.,0.3612,Positive,look like mmg cant used
735,Muka haramjadah punya anak Taukeh Judi.......penjara suumur hidup tanpa ampun.......,The holiday has a son of Tuckeh Judi... who lives in a prison without forgiveness...,-0.343,Negative,holiday son tuckeh judi life prison without forgiveness
736,Dia akan duduk di luar negeri,He'll sit outside.,0.0,Neutral,hell sit outside
738,Dh Bawak laju sepasai. Jalan tu berapa speed dia. Berlumba haram (mmg babi) plak. Langgaq kereta sampai menyebabkan kematian. Tu nk kata apa tu? Bukan membunuh ka?,Dwawk is on the way. How fast does this road go? Run the lawn off the plate. The train's going to die.,-0.5994,Negative,dwawk way fast road go run lawn plate train going die
739,Harap jangan ada hulur bawah meja dh le..salah tetap salah undand2 kena telus,I hope there's no hole under the table dh le.,0.1779,Positive,hope there hole table dh le
740,Jgn kerana anak taukeh judi boleh terlepas... Kerana berlumba org lain terbunuh.. Pelumba sial ni wajib dituduh membunuh,Jgn because the kid who had the hip could get away... because another organ was killed... the fucking killer who was charged with killing.,-0.9459,Negative,jgn kid hip could get away another organ killed fucking killer charged killing
741,Esok esok lepas lah ini..dorang tahu kita cuma boleh komen yang bagi hasil terakhir adalah money.,The early morning of the day is this. We don't know what we can say about the last result is money.,0.0,Neutral,early morning day dont know say last result money
742,Yg ni apa cerita? Sape tahu?,What's the story?,0.0,Neutral,whats story
743,Mari kita tengok,Let's get out of here.,0.0,Neutral,let get
744,Yg mampus adik dia kan....,He who is touching his brother is touching...,0.0,Neutral,touching brother touching
745,Ank taukeh.... Kita tengok jer,We're crying.,-0.4767,Negative,cry
746,Kimak cina kulup tok..,Who's gonna get a movie and a tok?,0.0,Neutral,who gon na get movie tok
747,Muka macam lahanat xde rase bersalah langsung..sial punye bagkaiii..,You're kind of a kind of xde race guilty right now..,-0.4215,Negative,youre kind kind xde race guilty right
748,Nyawa di bayar nyawa...itu saja. Ini bukan mabuk...ini dibuat semasa sedar dan normal.,Life on the living money is just not drunk... it's done in the sense and normal.,0.2584,Positive,life living money drunk done sense normal
749,Ada duit semua boleh terlepas.... Ini Malaysia,There's money that can all be released... this is Malaysia.,0.0,Neutral,there money released malaysia
750,Sedor² ada kat oku...sakit otak...,Sedor2 has my... brain disease...,0.0,Neutral,sedor brain disease
751,Sokong 100%,Sokong 100%,0.0,Neutral,sokong
752,Sekjp tu kedalam kimak tu... Duit ad mesti bayar pnye tu tukar kes cam sial,I'm gonna pay you to get some shit.,-0.6124,Negative,im gon na pay get shit
753,ustazah tertekan minyak pun pakai baju oren kan... tgk plok sisepet ni,The oil is also pressed in orange clothes but...,0.0,Neutral,oil also pressed orange clothes
754,"Undang-undang Malaysia tak boleh nk berharap sgt, cukup menyedihkan. Sudah di luar ketamadunan.","Malaysian guests cannot hope for a sgt, it's sad enough. It's out there.",-0.6711,Negative,malaysian guest hope sgt sad enough
755,Ada nampak muka bersalah ke tu. Membunuh pun boleh buat muka selamba.,Some people view it as a sin to be caught alive by a criminal who can commit murder.,-0.836,Negative,people view sin caught alive criminal commit murder
756,Terus terang aku x percaya sangat......,Then let me explain that I believe in the very...,0.0,Neutral,let explain believe
757,Muka mcm oku je..,It's a dark mcm eye.,0.0,Neutral,dark mcm eye
758,"Ramai pihak berkuasa dh jadi haiwan peliharaan,,jinak dg tuannya je..korg spe dieorg nk layan hahahah","Most authorities are protected animals, but their owners are not allowed to use them.",0.269,Positive,authority protected animal owner allowed use
759,Dh dapat lesen membunuh itu lah sbb tokey judi apa ada hal hulur tepi maaa setel,You can learn to kill that is sbb tokey judi. Is there something about the silkworm?,-0.6908,Negative,learn kill sbb tokey judi something silkworm
760,"btl die lh sbgi pmbnh,sbb berlumba di jln rya ,yg mengakibatkan 4 sekeluarga meninggal...klo die yg mmps x pe...org yg x brslh jdi mangsa","btl die lh sbgi pmbh, sbb runs on the yyyyyy, which results in 4 families dying...",-0.5994,Negative,btl die lh sbgi pmbh sbb run yyyyyy result family dying
761,Apa kesudahan kes ini ya?,What's the end of this case?,0.0,Neutral,whats end case
762,"Pembunuh. Nk doakan neraka, mmg dh stakat ni kalau mati pun neraka dh. Smoga diberikan hidayah la","The killer. In the prayer of hell, mmg of a stake from the dead of the fire d. Smog was given a journey.",-0.9571,Negative,killer prayer hell mmg stake dead fire smog given journey
763,Nnti ada yg claim dia OKU haaa matilah nak kalau mcm ini,"If there's anything she's complaining about, then you'd better die if this mcm.",-0.4215,Negative,there anything shes complaining youd better die mcm
764,"Ini bukan kemalangan,ini pembunuhan..harap kerajaan gubal undang undang ketat Dan hukuman paling berat kepada sesiapa yang memandu atau menunggang bahaya","This is not a coincidence, this is a murder. The government hopes that the law will be hard and the most serious punishment for anyone who drives or rides dangerously.",-0.8852,Negative,coincidence murder government hope law hard serious punishment anyone drive ride dangerously
765,PEMBUNUH,PUBLISHERS,0.0,Neutral,publisher
766,Money + madani = madoney,Money + Danish = Madoney,0.0,Neutral,money danish madoney
767,Aset negara ni,The theme already exists. Would you like to replace it?,0.3612,Positive,theme already exists would like replace
768,Mati kut takkan undang2 buat buta depa ingt jalanraya tempat race memang cilaka la klau lepas,I'm not gonna get the law to blind the people of the rest of the race.,-0.4019,Negative,im gon na get law blind people rest race
769,Muka kimak,Lowest,-0.3818,Negative,lowest
770,Jgn bg muke sgt bg hukuman yg berat ni tak asik jaminan je pastu bebas pastu buat lg,I don't want to tell you how to get free mail,0.4728,Positive,dont want tell get free mail
771,TAK LAMA LEPAS MINTA MAAF DAH TENTU SETEL KES. DAH BYK KITA TENGOK.,THE END OF PEOPLE WHO PERPETUATE THE TEXT OF THEIR ENDURAL REQUIREMENTS FOR THE benefit of others.,0.4588,Positive,end people perpetuate text endural requirement benefit others
772,Kompem senyap cmtu je.,I'm a team of cops.,0.0,Neutral,im team cop
773,Mesti terlepa punya.. Mcm sblm2 ni,It must have been forgotten.,-0.2263,Negative,must forgotten
774,Seksyen 302,Sexyen 302,0.0,Neutral,sexyen
775,Mmg niat mbunuh orang melayu itu tujuan diaorg utk kurang kan pengundi bangsa Melayu. Bukan lagi kebetulan.,"The purpose of killing was to get rid of the Melayu people, not to be harmed.",-0.4303,Negative,purpose killing get rid melayu people harmed
776,"Teringat pula kes ustazah bergari,kesalahan ter,this one patut sama juga bergari","Remember the case of the wearer, the other mistake, the one should be dressed as well.",-0.0772,Negative,remember case wearer mistake one dressed well
777,Takut mereka bayar untuk pecah akta supaya ringan akta jaa,They're afraid they're paying for the bill to get the money to pay for the bill,-0.1027,Negative,theyre afraid theyre paying bill get money pay bill
778,Rakyat memerhati!,You're a coward!,-0.5093,Negative,youre coward
779,"Polis Diraja Malaysia ( Royal Malaysia Police ) kita tgok jauh mana pdrm tangani kes ni , boleh pakai ke tidak .","The Malaysian King Police (King Malaysia Police) police are getting far where the pdrm handles the case, can wear it to the ground.",0.0,Neutral,malaysian king police king malaysia police police getting far pdrm handle case wear ground
780,Mesti lepas punya...,He must have had...,0.0,Neutral,must
781,Ni ada duit confirm2 la lepas ni...,We have two confirmations on our lips...,0.0,Neutral,two confirmation lip
782,"Bawa kereta sec melulu dn mnybbkn kematian, mentang² lah bwa kereta mahal ye..","Bring the dry car to the death of dn mnybbkn, against the price of his car..",-0.5994,Negative,bring dry car death dn mnybbkn price car
783,Isu pilihan raya ni,He chose the course of action,0.0,Neutral,chose course action
784,Bapak dia tokey Judi Haram ke tokey Judi halal,"His father was on the hill of Judah, in the valley of Judah, where there was no Baal.",-0.296,Negative,father hill judah valley judah baal
785,"Malas nak bagi harapan agar dia disabitkan kesalahan,kalau dia melayu anak org miskin ,berani lah bagi harapan....","He's too bad for hope to be blamed, when he's running away from the poor boy, it's for hope...",-0.5994,Negative,he bad hope blamed he running away poor boy hope
786,Muka byk mkn lemak ba b tu konon racer la sgt dia,You're going to have a b. You know what race is like today,0.3612,Positive,youre going b know race like today
787,Apa jadi polis langgar pelajar to . Hmmm . Neyh kn pulak benda neyh,"I mean, the police are not a student.",0.0,Neutral,mean police student
788,Macibai lancau ini orang .,Make this mess human.,-0.3612,Negative,make mess human
789,Tggu bila lg rakyat Msia nak bangkit.... bila nak muncul Jebat baru,When the Messiah’s people are resurrected... when the new Sabbath occurs,0.0,Neutral,messiah people resurrected new sabbath occurs
790,klu terlepas jugak tak tau la..mmg haramm jadah laaa....pihak berkuasa yg bwh² ni ade yg telus..tp apa kan daya....yg atas² yg x bolh harap..janji msyukkk...,The missing key is unknown.. mmg is not allowed to exist. The authorities are not able to find it..tp what is possible on the x-bolh wall..,-0.296,Negative,missing key unknown mmg allowed exist authority able find ittp possible xbolh wall
791,Ingat muka ni forever kalu pihak berkuasa buat2 lupa dan lepaskan. Cari sampai lubang cacing.,Remember the face of the authorities for the two of them for the loss and release.,-0.3182,Negative,remember face authority two loss release
792,Polis takut nak dakwa. Dorang skang boleh berbuat sesuka hati.,"The police feared that the police would smoke, and the police could make a huge heart attack.",0.0516,Positive,police feared police would smoke police could make huge heart attack
793,Undang2 malaysia ni untuk org melayu je huhu,The answer is that the physiological system is not a good idea.,-0.3412,Negative,answer physiological system good idea
794,"Tgk apa mcm hakim n pulis jlnkn keje .. klu dpt dedak baja taik #babhee, kompom ringan je hukuman denda 5k, xmcm ustazah skolah yg eksiden sbbkn pelajar mninggal .. haha tepok poket Wang mari ..","Tgk what mcm judge n ppolis jln kje . kkkkkkt dpt ddakdak tak #babee, a small compom is a 5k command, xmcm uzázah school that exiden sbbkn learns to die.. haha pukt wang mari..",-0.2263,Negative,tgk mcm judge n ppolis jln kje kkkkkkt dpt ddakdak tak babee small compom k command xmcm uzzah school exiden sbbkn learns die haha pukt wang mari
795,Oooo bangsa ni ...insyaa allah undang2 sentiasa menyebelahinya,Ooo peoples are... the gods of the law2 always do it.,0.0,Neutral,ooo people god law always
796,Sebenarnya dia ada kad OKU,"Actually, he's got a card.",0.0,Neutral,actually he got card
